line,move,espeed,dir,end,x,y,z,pitch,roll,yaw,fspeed
922,1,6,1,0,388.7674,-0.7856,3.7,0,0,0,
925,1,6,1,0,388.2256,-0.7774,3.7,0,0,0,
928,1,6,1,0,387.6812,-0.768,3.7,0,0,0,
931,1,6,1,0,387.134,-0.7573,3.7,0,0,0,
934,1,6,1,0,386.5842,-0.7453,3.7,0,0,0,
937,1,6,1,0,386.0316,-0.732,3.7,0,0,0,
940,1,6,1,0,385.4764,-0.7173,3.7,0,0,0,
943,1,6,1,0,384.9185,-0.7012,3.7,0,0,0,
946,1,6,1,0,384.3579,-0.6836,3.7,0,0,0,
949,1,6,1,0,383.7946,-0.6647,3.7,0,0,0,
952,1,6,1,0,383.2286,-0.6443,3.7,0,0,0,
955,1,6,1,0,382.66,-0.6224,3.7,0,0,0,
958,1,6,1,0,382.0887,-0.599,3.7,0,0,0,
961,1,6,1,0,381.5147,-0.5741,3.7,0,0,0,
964,1,6,1,0,380.938,-0.5477,3.7,0,0,0,
967,1,6,1,0,380.3587,-0.5198,3.7,0,0,0,
970,1,6,1,0,379.7767,-0.4902,3.7,0,0,0,
973,1,6,1,0,379.192,-0.459,3.7,0,0,0,
976,1,6,1,0,378.6047,-0.4262,3.7,0,0,0,
979,1,6,1,0,378.0147,-0.3917,3.7,0,0,0,
982,1,6,1,0,377.4221,-0.3554,3.7,0,0,0,
985,1,6,1,0,376.8269,-0.3175,3.7,0,0,0,
988,1,6,1,0,376.229,-0.2777,3.7,0,0,0,
991,1,6,1,0,375.6284,-0.2362,3.7,0,0,0,
994,1,6,1,0,375.0252,-0.1928,3.7,0,0,0,
997,1,6,1,0,374.4194,-0.1475,3.7,0,0,0,
1000,1,6,1,0,373.811,-0.1003,3.7,0,0,0,
1003,1,6,1,0,373.2,-0.0511,3.7,0,0,0,
1006,0,6,1,0,372.5864,-7.36E-07,3.7,0,0,0,
1009,0,6,1,0,373.0695,0.0523,3.7,0,0,0,
1012,0,6,1,0,373.5551,0.1048,3.7,0,0,0,
1015,0,6,1,0,374.0432,0.1573,3.7,0,0,0,
1018,0,6,1,0,374.5338,0.2099,3.7,0,0,0,
1021,0,6,1,0,375.0271,0.2625,3.7,0,0,0,
1024,1,6,1,0,375.5228,0.3151,3.7,0,0,0,
1027,1,6,1,0,376.0212,0.3676,3.7,0,0,0,
1030,1,6,1,0,376.5222,0.4199,3.7,0,0,0,
1033,1,6,1,0,377.0258,0.4719,3.7,0,0,0,
1036,1,6,1,0,377.532,0.5238,3.7,0,0,0,
1039,1,6,1,0,378.0409,0.5754,3.7,0,0,0,
1042,1,6,1,0,378.5524,0.6266,3.7,0,0,0,
1045,1,6,1,0,379.0665,0.6775,3.7,0,0,0,
1048,1,6,1,0,379.5833,0.728,3.7,0,0,0,
1051,1,6,1,0,380.1028,0.7781,3.7,0,0,0,
1054,1,6,1,0,380.625,0.8277,3.7,0,0,0,
1057,1,6,1,0,381.1499,0.8768,3.7,0,0,0,
1060,1,6,1,0,381.6774,0.9253,3.7,0,0,0,
1063,1,6,1,0,382.2077,0.9733,3.7,0,0,0,
1066,1,6,1,0,382.7406,1.0206,3.7,0,0,0,
1069,1,6,1,0,383.2763,1.0673,3.7,0,0,0,
1072,1,6,1,0,383.8147,1.1133,3.7,0,0,0,
1075,1,6,1,0,384.3558,1.1586,3.7,0,0,0,
1078,1,6,1,0,384.8996,1.203,3.7,0,0,0,
1081,1,6,1,0,385.4462,1.2467,3.7,0,0,0,
1084,1,6,1,0,385.9955,1.2895,3.7,0,0,0,
1087,1,6,1,0,386.5475,1.3314,3.7,0,0,0,
1090,1,6,1,0,387.1023,1.3724,3.7,0,0,0,
1093,1,6,1,0,387.6598,1.4125,3.7,0,0,0,
1096,1,6,1,0,388.2201,1.4516,3.7,0,0,0,
1099,1,6,1,0,388.783,1.4897,3.7,0,0,0,
