line,numSteps,stepTime,dir,end,x,y,z,pitch,roll,yaw,f
182,117,46.8,1,0,516.9924,26.5296,14.0275,0,-180,0,150
183,134,53.6,1,0,490.796,42.7726,15.7338,0,-180,0,150
184,148,59.2,1,0,461.507,52.6867,17.1924,0,-180,0,150
185,158,63.2,1,0,431.0459,58.1999,18.1934,0,-180,0,150
186,162,64.8,1,0,400.1249,60,18.5808,0,-180,0,150
187,158,63.2,1,0,369.2038,58.1999,18.1934,0,-180,0,150
188,148,59.2,1,0,338.7427,52.6867,17.1924,0,-180,0,150
189,134,53.6,1,0,309.4537,42.7726,15.7339,0,-180,0,150
190,114,45.6,1,0,283.2573,26.5296,14.0277,0,-180,0,150
191,103,41.2,1,0,269.1248,0,12.8115,0,-180,0,150
192,117,46.8,1,0,283.2573,-26.5296,14.0274,0,-180,0,150
193,134,53.6,1,0,309.4537,-42.7726,15.7337,0,-180,0,150
194,148,59.2,1,0,338.7427,-52.6867,17.1924,0,-180,0,150
195,158,63.2,1,0,369.2038,-58.1999,18.1934,0,-180,0,150
196,162,64.8,1,0,400.1248,-60,18.5808,0,-180,0,150
197,158,63.2,1,0,431.0459,-58.1999,18.1934,0,-180,0,150
198,148,59.2,1,0,461.507,-52.6867,17.1924,0,-180,0,150
199,134,53.6,1,0,490.796,-42.7726,15.7338,0,-180,0,150
200,114,45.6,1,0,516.9924,-26.5296,14.0276,0,-180,0,150
201,103,41.2,1,0,531.1387,0,14.0295,0,-180,0,150
202,117,46.8,1,0,516.97,26.4985,15.3798,0,-180,0,150
203,134,53.6,1,0,490.7792,42.7267,17.2757,0,-180,0,150
204,148,59.2,1,0,461.506,52.6545,18.8966,0,-180,0,150
205,158,63.2,1,0,431.0555,58.189,20.0094,0,-180,0,150
206,162,64.8,1,0,400.1387,60,20.4397,0,-180,0,150
207,158,63.2,1,0,369.2219,58.1889,20.0093,0,-180,0,150
208,148,59.2,1,0,338.7714,52.6545,18.8966,0,-180,0,150
209,134,53.6,1,0,309.4982,42.7268,17.2758,0,-180,0,150
210,114,45.6,1,0,283.3074,26.4985,15.38,0,-180,0,150
211,103,41.2,1,0,269.1387,0,14.0295,0,-180,0,150
212,117,46.8,1,0,283.3074,-26.4985,15.3797,0,-180,0,150
213,134,53.6,1,0,309.4982,-42.7267,17.2757,0,-180,0,150
214,148,59.2,1,0,338.7714,-52.6545,18.8966,0,-180,0,150
215,158,63.2,1,0,369.2219,-58.1889,20.0093,0,-180,0,150
216,162,64.8,1,0,400.1387,-60,20.4397,0,-180,0,150
217,158,63.2,1,0,431.0555,-58.1889,20.0093,0,-180,0,150
218,148,59.2,1,0,461.506,-52.6545,18.8966,0,-180,0,150
219,134,53.6,1,0,490.7792,-42.7268,17.2758,0,-180,0,150
220,114,45.6,1,0,516.97,-26.4985,15.3799,0,-180,0,150
221,103,41.2,1,0,531.1526,0,15.2474,0,-180,0,150
222,117,46.8,1,0,516.9477,26.4674,16.732,0,-180,0,150
223,134,53.6,1,0,490.763,42.6806,18.8175,0,-180,0,150
224,148,59.2,1,0,461.5058,52.6221,20.6006,0,-180,0,150
225,158,63.2,1,0,431.0657,58.1779,21.8253,0,-180,0,150
226,162,64.8,1,0,400.1526,60,22.2987,0,-180,0,150
227,158,63.2,1,0,369.2395,58.1779,21.8253,0,-180,0,150
228,148,59.2,1,0,338.7994,52.6221,20.6007,0,-180,0,150
229,134,53.6,1,0,309.5422,42.6806,18.8176,0,-180,0,150
230,114,45.6,1,0,283.3575,26.4674,16.7321,0,-180,0,150
231,103,41.2,1,0,269.1526,0,15.2474,0,-180,0,150
232,117,46.8,1,0,283.3574,-26.4674,16.7318,0,-180,0,150
233,134,53.6,1,0,309.5422,-42.6806,18.8174,0,-180,0,150
234,148,59.2,1,0,338.7994,-52.6221,20.6006,0,-180,0,150
235,158,63.2,1,0,369.2394,-58.1779,21.8253,0,-180,0,150
236,162,64.8,1,0,400.1526,-60,22.2987,0,-180,0,150
237,158,63.2,1,0,431.0657,-58.1779,21.8253,0,-180,0,150
238,148,59.2,1,0,461.5058,-52.6221,20.6006,0,-180,0,150
239,134,53.6,1,0,490.763,-42.6806,18.8175,0,-180,0,150
240,114,45.6,1,0,516.9477,-26.4674,16.732,0,-180,0,150
241,103,41.2,1,0,531.1665,0,16.4654,0,-180,0,150
242,117,46.8,1,0,516.9255,26.4362,18.0839,0,-180,0,150
243,134,53.6,1,0,490.7473,42.6342,20.359,0,-180,0,150
244,148,59.2,1,0,461.5064,52.5895,22.3045,0,-180,0,150
245,158,63.2,1,0,431.0765,58.1668,23.6412,0,-180,0,150
246,162,64.8,1,0,400.1665,60,24.1577,0,-180,0,150
247,158,63.2,1,0,369.2564,58.1668,23.6412,0,-180,0,150
248,148,59.2,1,0,338.8265,52.5895,22.3045,0,-180,0,150
249,134,53.6,1,0,309.5856,42.6342,20.3592,0,-180,0,150
250,114,45.6,1,1,283.4074,26.4362,18.0841,0,-180,0,150
